content,score,thumbsUpCount,at,clean_content
"Dulu enak belanja di sini sekarang mending belanja di tik tok saja shopee skrg sdh pakai biaya LAYANAN ,kalau pakau pay later pun tdk dapat gratis ongkir ,POKOKNYA TINGGALKAN SHOPEE",1,0,2022-10-25 02:16:05,enak belanja mend belanja tik tok shope skrg sdh pakai biaya layanan pakau pay later tdk grati ongkir pokoknya tinggalkan shope
Rasany pengen uninstall aja. Lemot bgt,1,0,2022-08-29 11:41:06,rasani pengen uninstal aja lemot bgt
Coba tolong shope eror apa kenapa sih ? koq kembali ke halaman utama melulu. tolong dong pihak shope bertindak,1,0,2022-12-24 05:43:26,coba tolong shope eror sih koq halaman utama melulu tolong shope bertindak
ga jelas . telat bayar seminggu saja langsung di blok . sudah saya lunasi . ga ada timbal balik nya .,1,0,2022-12-31 10:39:32,ga telat bayar seminggu langsung blok lunasi ga timbal nya
Knpaa kok tak bisa cod,1,0,2023-01-21 08:01:47,knpaa cod
"Kg jelas ngaleg scroll nya leg, ini udh parah bet bug nya lgi lihat lihat bareng trs langsung keluar bug kebeli cod sampe aku lupa sya yg rugi inii",1,0,2022-08-19 13:22:16,kg ngaleg scroll nya leg udh parah bet bug nya lgi lihat lihat bareng tr langsung bug kebe cod samp lupa sya yg rugi inii
"Perbaiki dong shopee Express tu pengiriman kagak jelas, dah telat, eh lama lama di kembalikan barang nya, dah 3 barang gtu, 🚮🚮",1,0,2023-04-11 04:12:57,perbaiki shope express tu pengiriman kagak dah telat eh kembalikan barang nya dah barang gtu
Pay later data lengkap tapi di tolak mending unistal aza ga guna apk nya,1,0,2022-08-18 05:03:24,pay later data lengkap tolak mend unist aza ga apk nya
Setelah di perbaharui Shoppe keluar keluar terus gak bisa masuk ke akun lg,1,0,2022-10-16 06:36:44,perbaharui shopp gak masuk akun lg
Voucher gratis ongkir min belanja 0 gak bisa di pake tolong beri saran,1,0,2022-10-15 11:10:38,voucher grati ongkir min belanja gak pake tolong saran
Shopee makin kesini semakin buruk lemotnya minta ampun 🥱,1,0,2022-12-29 01:06:30,shope kesini buruk lemotnya ampun
"Kualitas shoope dulu sama sekarang beda jauh.. Makin kesini makin parah, Pingin mengeruk keuntungan lebih dengan membuka jasa pengiriman sendiri.. alhasil kualitas pengiriman sangat buruk.. sangat parah.. Terlebih kurirnya, gk punya tanggung jawab. Cuma maunya nrima gaji.. Barang sudah diatur pengiriman, tinggal nunggu dipickup jasa pengiriman, sampe 3hari gk di pickup.. PARAH !!",1,3,2023-02-20 01:40:34,kualita shoop beda kesini parah pingin mengeruk keuntungan membuka jasa pengiriman alhasil kualita pengiriman buruk parah kurirnya gk tanggung maunya nrima gaji barang diatur pengiriman tinggal nunggu dipickup jasa pengiriman samp gk pickup parah
kit ati am shopi,1,0,2023-04-04 17:21:01,kit ati am shopi
PENIPUUU!!!!! FLASH SALE SETINGANN ADEKNGW JG BISAA!,1,0,2023-04-04 20:01:15,penipuuu flash sale setingann adekngw jg bisaa
akun saya kok masih di nonaktifkan sedangkan tagihan sudah lunas semua,1,0,2022-08-07 14:21:15,akun nonaktifkan tagihan luna
Kenapa gk bisa di buka min lgh ganguan kah,1,0,2023-04-08 07:36:46,gk buka min lgh ganguan kah
setiap beli paket data gatau masuk.,1,0,2022-11-28 08:27:42,beli paket data gatau masuk
"Tolong segera di perbaiki,aplikasi lambat,lemot,loding gak selesai2,mw pmbayaran transakasi,susah,,gak mncul2 halaman mya,",1,3,2022-08-29 10:18:10,tolong perbaikiaplikasi lambatlemotlod gak selesaimw pmbayaran transakasisusahgak mncul halaman mya
Lemot,1,0,2023-01-13 16:51:25,lemot
Payah,1,0,2023-01-25 13:11:14,payah
"Shopee lu kenapa dah, gw buka malah keluar terus anjir dari aplikasinya.",1,0,2022-12-23 10:37:56,shope lu dah gw buka anjir aplikasinya
"Benerin dulu systemnya, takut pakai Shopee di medsos bnyk penipuan",1,0,2022-12-03 02:53:46,benerin systemnya takut pakai shope medso bnyk penipuan
"Penyimpanan udh gede, ngedowload trs lgi nguras kuota bnyk bgt",1,0,2023-01-20 16:16:34,penyimpanan udh gede ngedowload tr lgi ngura kuota bnyk bgt
bukanya lama banget padahal internet kenceng kecewa sama shoppe kalau kek gini trus gk bisa perpungsi,1,0,2022-10-28 13:13:15,bukanya banget internet kenceng kecewa shopp kek gini tru gk perpungsi
🤓🤓🤓,1,0,2023-04-05 05:04:06,
"Apaan saldo shopee pay tiba2 ngurang sendiri, otomatis bayar ke google play, yg bikin gak wajar hilang nya mayan gedee!!!!! Ni sistemnya gmn ya bisa2 nya transaksi di lakuin secara otomatis di aplikasinya",1,1,2022-08-05 15:32:24,saldo shope pay ngurang otomati bayar googl play yg bikin gak wajar hilang nya mayan gede ni sistemnya gmn ya nya transaksi lakuin otomati aplikasinya
Saya mau pesen barang kok suruh muat ulang terus,1,0,2022-12-24 04:25:09,pesen barang suruh muat ulang
"Kenapa stlh ak perbaharui,mlh gak bsa di buka . Suruh kembali ke halaman pertama",1,0,2022-12-25 05:55:18,stlh ak perbaharuimlh gak bsa buka suruh halaman
Lag,1,0,2022-09-28 03:40:52,lag
Aplikasi makin lelet,1,0,2022-12-16 17:09:10,aplikasi lelet
"saat di kasih bintang 1 selalu di teror pihak toko, di tlp terus karena terima barang yg tak sesuai atau rusak ...",1,0,2022-09-23 09:58:02,kasih bintang teror toko tlp terima barang yg sesuai rusak
"Transaksi gagal namun saldo saya telah terpotong, dihubungi cs gak ada tanggapan. Mohon di refund uang saya",1,0,2022-12-26 06:14:07,transaksi gagal saldo terpotong dihubungi cs gak tanggapan mohon refund uang
"aplikasinya jelek bangett bagusan lazada,aplikasi ini lalod banget,promo pengguna pertama nggak bisa di pakai👎👎👎jelek banget pokoknya",1,0,2022-12-30 16:02:44,aplikasinya jelek bangett bagusan lazadaaplikasi lalod bangetpromo pengguna nggak pakaijelek banget pokoknya
Ngebug,1,0,2022-08-21 19:51:02,ngebug
Sangat lola / lemottttt.............,1,0,2022-10-22 03:06:59,lola lemottttt
"Parah ni aplikasi abis update malah Lola banget keluar terus, padahal jaringan bagus, sering banget kaya gini terus",1,0,2023-02-24 16:49:52,parah ni aplikasi abi updat lola banget jaringan bagu banget kaya gini
"Jas pengiriman shopee expres tidak bisa dipercaya, paket saya sdh saya tunggu sampai estimasi trakhir tdk kunjung datang, malah dikembalikan ke penjual secara sepihak, dibatalkan dengan alasan penerima tidak dapat dihubungi, padahal kami pihak penerima tdk dapat kabar sama sekali oleh kurir. TOLONG DIJAWAB!!! lebih baik kgk ush dah buat shopee expres, cukup seperti dulu, jnt, jne, dan ninja saja kurirnya.",1,0,2022-11-15 15:13:32,ja pengiriman shope expr dipercaya paket sdh tunggu estimasi trakhir tdk kunjung dikembalikan penjual dibatalkan alasan penerima dihubungi penerima tdk kabar kurir tolong kgk ush dah shope expr jnt jne ninja kurirnya
❤️,1,0,2022-09-27 15:43:46,
"Sudah sering belanja via tranfer, COD n pake Paylater limit ga naik-naik..hadeh",1,0,2023-01-25 04:55:38,belanja via tranfer cod n pake paylat limit ga naiknaikhadeh
Kurang profesional dalam pemilihan mitra .. saya udah langganan lama di shopee tp di kecewakan dengan satu toko,1,0,2022-09-28 07:11:06,profesion pemilihan mitra udah langganan shope tp kecewakan toko
"Ga bisa di update , gagal terus",1,0,2022-11-25 13:56:50,ga updat gagal
Sangat lemot.. Tiap masuk ke aplikasi selalu ngebug.. Berat dan banyk lagi kendala,1,0,2022-08-09 12:40:22,lemot masuk aplikasi ngebug berat banyk kendala
"Kebanyakan fitur jadi aplikasinya berat mau buka apa apa ngelagnya minta ampun padahal wifi lancar, sinyal lancar.",1,0,2022-10-28 23:06:43,kebanyakan fitur aplikasinya berat buka ngelagnya ampun wifi lancar sinyal lancar
"Tolong event THR, transfer bank, Happy Hours, TopUp di share 1hari sebelum harinya dong. Biar kita ada persiapan",1,0,2022-08-17 11:57:29,tolong event thr transfer bank happi hour topup share harinya biar persiapan
Aplikasi yang membuat hpku ngefreze terus,1,0,2022-07-12 04:38:48,aplikasi hpku ngefrez
"kenapa ya ,sblm d updt mau cekout ga bs ,layar cm putih,d updt sama aja , kuota banyak dan kecepatan nya tinggi , hape udh d restr ulang ttp aja , bahkan ram d hape mash full kalo mau hape nya nge lag ga mgkn ,tlg perbaiki ini",1,0,2022-10-28 11:29:10,ya sblm d updt cekout ga bs layar cm putihd updt aja kuota kecepatan nya hape udh d restr ulang ttp aja ram d hape mash full kalo hape nya nge lag ga mgkn tlg perbaiki
"Aplikasinya sangat buruk,,,,, sering eror dan mengganggu",1,0,2022-12-06 23:37:35,aplikasinya buruk eror mengganggu
"Kayaknya sekarang harus beralih ke aplikasi yg lain, sekarang shopee biaya penanganan codnya semakin naik.",1,0,2022-09-06 07:35:41,kayaknya beralih aplikasi yg shope biaya penanganan codnya
Setelah di update jadi tidak bisa topup seabank via spay Aplikasi keluar tesrus tiap buka menu itu,1,6,2023-02-22 10:52:06,updat topup seabank via spay aplikasi tesru buka menu
"skarang pelit ongkir, pelit cashback & banyak biaya layanan. aplikasi juga makin lemot. sumpah gw pemakai lama apk ini makin ksini makin kcewa",1,0,2022-11-11 00:40:32,skarang pelit ongkir pelit cashback biaya layanan aplikasi lemot sumpah gw pemakai apk ksini kcewa
Kurang bagus saya kecewa sama pengiriman si cepat ekpres padahal dari kabupaten bekasi ke bekasi kota dan saya pesan di 2 toko bekasi kabupaten tetapi yg satunya melalui si cepat ekpress sampai sekarang terhitung 1 minggu g kekirim kirim terlalu bertele tele alesannya shope tolong kejelasannya paket saya dimana,1,0,2022-07-13 02:44:32,bagu kecewa pengiriman si cepat ekpr kabupaten bekasi bekasi kota pesan toko bekasi kabupaten yg satunya si cepat ekpress terhitung minggu g kekirim kirim bertel tele alesannya shope tolong kejelasannya paket dimana
"Kenapa nii udah 2 hari setiap buka shope selalu ""kembali ke halaman utama""",1,0,2022-12-24 07:47:01,nii udah buka shope halaman utama
Lagggggg,1,0,2022-10-23 04:11:47,lagggggg
tidak tersedia klaim voucher gratis ongkir dipenguna baru saya sangat kecewa,1,0,2022-07-27 15:43:16,tersedia klaim voucher grati ongkir dipenguna kecewa
Kecewa sama spylater... Daftar berkali.. Kali ditolak terus.... Padahal saya menggunakan shopee sudah lama.,1,0,2023-04-03 07:00:09,kecewa spylat daftar berkali kali ditolak shope
Barang barang yang dijual di aplikasi ini tidak sesuai dengan gambar yang diiklankan. Ini adalah suatu bentuk pembohongan publik. Seharusnya mereka terkena pasal undang undang ITE. Mereka berbondong-bondong membohongi publik masyarakat umum di Indonesia. Harus di tindaklanjuti laporan ini kepada pihak kepolisian..17:20 27 Desember 2022,1,18,2022-12-27 10:18:19,barang barang dijual aplikasi sesuai gambar diiklankan bentuk pembohongan publik terkena pasal undang undang ite berbondongbondong membohongi publik masyarakat indonesia tindaklanjuti laporan kepolisian desemb
"sering ngelag, kesel",1,0,2022-12-26 21:51:09,ngelag kesel
"Shopee makin lama makin lemot, suka gk muncul gambar pdhl jrngn kenceng abis, lalu saat kita klik lama bngt respon sampe bermenit"" , terkadang kita mau cek yg baru dilihat malah gk kesimpen. Tolong diperbaiki lg mungkin jg karena terlalu kebanyakan fitur kali ya makanya shopee jd lemot kyk gini, bagus sih dalam 1 apk kita bisa memakai beberapa fitur yg di tawarkan namun jikalau menjadi lamban begini mending di kurangi fitur yg tdk terlalu penting, contoh jngn terlalu banyak game shopee..",1,34,2023-01-29 14:55:19,shope lemot suka gk muncul gambar pdhl jrngn kenceng abi klik bngt respon samp bermenit terkadang cek yg gk kesimpen tolong diperbaiki lg jg kebanyakan fitur kali ya shope jd lemot kyk gini bagu sih apk memakai fitur yg tawarkan lamban mend kurangi fitur yg tdk contoh jngn game shope
Pengiriman skrng ngaret semua ga sesuai estimasi ditunggu tunggu ga tiba juga,1,0,2023-02-25 01:46:44,pengiriman skrng ngaret ga sesuai estimasi ditunggu tunggu ga
Ngajuin paylater di tolak mulu padahal data udh bener muka udh bener ktp bener susah amat bukan sekali dua kali tapi udh beberapa puluh kali nyoba tetep aja di tolak,1,0,2022-07-16 04:12:56,ngajuin paylat tolak mulu data udh bener muka udh bener ktp bener susah kali udh puluh kali nyoba tetep aja tolak
"Tranfer dari shopee sangat mengecewakan, sangat lama",1,0,2022-11-19 00:53:10,tranfer shope mengecewakan
Semakin lemot saja..,1,0,2022-08-07 17:55:04,lemot
CS SHOPPE TIDAK BEKERJA DENGAN BAIK PANTAS KALAH SAING DENGAN TIK TOK.,1,0,2023-04-09 12:59:42,cs shopp kalah sa tik tok
"APLIKASI BABI, IKLAN DI GAME MANA MANA",1,0,2022-09-18 03:21:23,aplikasi babi iklan game
"Kebanyakan loading,mo isi pulsa aja susah nya minta ampun",1,0,2023-03-11 07:30:41,kebanyakan loadingmo isi pulsa aja susah nya ampun
"Hee tolongg ya, knp shoppe g gd gratis ongkir, jdi kesel dehh,",1,0,2022-09-24 17:08:24,hee tolongg ya knp shopp g gd grati ongkir jdi kesel dehh
"jadi lemot,berat ,,,gak endul👎👎",1,0,2022-07-20 12:30:14,lemotberat gak endul
Saya suka shopeeBig,1,0,2023-03-21 06:37:32,suka shopeebig
"Kecewa banget sama shopee, toko yg jualn barang KW banyak banget, trus barang toko yang suka nipu banyak banget juga, kenapa enggak di blokir, kasian yang beli dah keluar uang yang lumayan, eh barang nya ga sesuai, kasian banget sih, jangan di biarin harus nya, entar banyak yang ga mau beli di shopee lgi",1,1,2022-11-14 12:03:12,kecewa banget shope toko yg jualn barang kw banget tru barang toko suka nipu banget blokir kasian beli dah uang lumayan eh barang nya ga sesuai kasian banget sih biarin nya entar ga beli shope lgi
Eror dr malem sampai malem lagi belum kelar kelar.. Udah rugi berapa T kalian? Baru kali ini apk erornya awet!!,1,0,2022-12-23 12:33:00,eror dr malem malem kelar kelar udah rugi t kali apk erornya awet
"Ternyata bnyak jga yg kecewa sama aplikasinya, karena mkin lama emang suka ga jelas, sering bug balik"" halaman sendiri, malah sekarang sering log out sendiri",1,0,2023-02-06 05:47:33,bnyak jga yg kecewa aplikasinya mkin emang suka ga bug halaman log out
Shoppe gak jelas....narik shoppepay aja lelettttt😈🐒,1,1,2022-10-01 01:58:27,shopp gak jelasnarik shoppepay aja lelettttt
lag parah 😮‍💨,1,0,2022-09-24 12:47:29,lag parah
Lemot,1,1,2023-04-02 05:27:47,lemot
Pulsa saya gamasuk coy sayang banget 30rb,1,0,2022-07-28 00:28:56,pulsa gamasuk coy sayang banget rb
Sekerang jasa pengiriman cuma ada shopee express.. Super lemot.. Berteletele,1,0,2022-11-29 05:17:39,sekerang jasa pengiriman shope express super lemot berteletel
"Udh gak nyaman beli di shopee ,biaya penanganan mahal jdi sekarang lebih milih fitur lain aja.",1,0,2023-03-08 08:58:42,udh gak nyaman beli shope biaya penanganan mahal jdi milih fitur aja
Kapok pakek shopee paylater mau minta surat bukti lunas ga dikasih-kasih padahal lagi butuh banget.,1,0,2023-01-11 10:52:15,kapok pakek shope paylat surat bukti luna ga dikasihkasih butuh banget
Lemot,1,0,2022-10-29 08:40:28,lemot
Lemot bgt lahhh,1,0,2022-10-06 01:42:30,lemot bgt lahhh
Shopee lama2 aplikasi lola anjay,1,0,2022-10-29 03:41:48,shope aplikasi lola anjay
Buruk sekali masa akun baru langsung dibatasi tidak bisa check out katanya karna terlibat tindakan mencurigakan tindakan apa yang bisa dilakukan oleh akun yang baru di buat ini pengalaman terburuk yang pernah saya rasakan ketika menggunakan suatu aplikas,1,0,2022-08-04 08:53:22,buruk akun langsung dibatasi check out karna terlibat tindakan mencurigakan tindakan akun pengalaman terburuk rasakan aplika
Tolong dong jgn kebanyakan ubded mending versi lama aja lmt dan jelek padahal ram saya gde jringan fulll.,1,0,2023-01-29 02:23:35,tolong jgn kebanyakan ubd mend versi aja lmt jelek ram gde jringan fulll
Ko jadi lemot banget yah,1,1,2022-08-30 03:07:03,ko lemot banget yah
Saya tidak bisa buka apk nya terus ada tulisan halaman sedang di perbaiki terus lama sekali tidak bisa buka apk nya ini maksud nya gimana ya?,1,0,2022-12-23 09:21:15,buka apk nya tulisan halaman perbaiki buka apk nya maksud nya gimana ya
"Gak bisa chat dengan penjualnya, tambah payah aplikasi ini",1,0,2023-02-25 15:43:30,gak chat penjualnya payah aplikasi
"Paraah gila ini app. Ngefreeze, ngelag minta ampun, bug dimana² pihak dev tolong di perbaiki. Padahal hp saya jauh dari kata kentang",1,0,2022-08-21 11:17:02,paraah gila app ngefreez ngelag ampun bug dimana dev tolong perbaiki hp kentang
"Mesin capit saya tidak pernah dapat, aplikasi lemot, suka loading lama, shopi jkjkk",1,0,2022-07-15 23:00:37,mesin capit aplikasi lemot suka load shopi jkjkk
"Aplikasi makin lama makin berat, server gak diurus malah nambah nambah fitur gak guna ""shopee video, shopee food"" dan sebgainya. Kalo mau bnget mending dipisah apk nya trus perbaiki server, mau cari produk lalot banget, mana promo makin lama makin sedikit!!",1,0,2022-08-22 14:00:28,aplikasi berat server gak diuru nambah nambah fitur gak shope video shope food sebgainya kalo bnget mend dipisah apk nya tru perbaiki server cari produk lalot banget promo
Baru jugak instal belom ada mesennn kok malah log out yaa masuk lagi tapi ga bisa bisa🙄 kecewaaa saya🙄 Tolong jelasin,1,0,2022-12-28 05:23:30,jugak instal belom mesennn log out yaa masuk ga kecewaaa tolong jelasin
"Mohon maaf untuk cara penagihan spaylatter d perbaiki ya, sy pengguna spaylatter sudah lama, dan selalu tepat waktu, hanya skrg sy telat karna ada kendala bukan karena d sengaja, bukan sy lari tapi sy sedang mencari dananya. Baru kali ini sy kecewa banget sama spaylatter.",1,1,2022-11-28 06:12:53,mohon maaf penagihan spaylatt d perbaiki ya sy pengguna spaylatt skrg sy telat karna kendala d sengaja sy lari sy mencari dananya kali sy kecewa banget spaylatt
"Aplikasi cacat!! Tiba² ga bisa dibuka, stok barang tiba² habis sendiri. Rusak!!",1,0,2022-12-24 08:52:11,aplikasi cacat ga dibuka stok barang habi rusak
Ini shopee lagi error ato gimana ya? Udh beberapa hari klo buka aplikasi suruh kembali ke halaman utama terus,1,0,2022-12-24 09:19:00,shope error ato gimana ya udh klo buka aplikasi suruh halaman utama
udah mau 99 hampir selesai di download eh malah kembali lg kembali lg ke 0 udah bbrpa kali gitu aja padahal sinyal bagus 😌,1,0,2022-09-05 09:00:21,udah selesai download eh lg lg udah bbrpa kali gitu aja sinyal bagu
"Waktu buka, seakan2 jaringan hilang dan aplikasi gagal terbuka",1,0,2022-10-21 15:17:47,buka seakan jaringan hilang aplikasi gagal terbuka
Sekarang lemott.. Jadi bete mau cari barang,1,0,2022-09-25 13:17:20,lemott bete cari barang
TDK bsa d perbarui Parah. Tambah buruk tidak seperti dulu,1,0,2022-08-29 11:42:21,tdk bsa d perbarui parah buruk
"oyy shopee, colab sama gua dong jadi endorse gua, krna lagi mau berdakwah nih karna gua sadar banyakan hamba Allah di area ini yang lupa akan akhirat.",1,0,2022-09-08 15:43:32,oyi shope colab gua endors gua krna berdakwah nih karna gua sadar banyakan hamba allah area lupa akhirat
Ga jelas,1,0,2022-11-22 09:04:05,ga
"Gak adil banget,rakyat aceh juga pengen pakai spaylater,padahal saya selalu tepat waktu bayar,tapi dinonaktifkan karna daerah aceh gabisa pakai",1,0,2023-01-07 18:19:21,gak adil bangetrakyat aceh pengen pakai spaylaterpadah bayartapi dinonaktifkan karna daerah aceh gabisa pakai
Sebenarnya suka aplikasi ini tapi kenapa sering x pembaharuan dan setiap selesai update bukanya makin lancar tapi malah makin lemot,1,0,2022-07-27 12:10:27,suka aplikasi x pembaharuan selesai updat bukanya lancar lemot
